economy,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
BOL,61.8587201575591,62.3374810379005,62.8187632085055,63.2918711090474,63.7564671612252,64.2133062205259,64.6631431424362,65.1067327824433,65.5448299960338,65.9781896386949,66.4075665659133,66.833715633176,67.2581444827699,67.6697055519889,68.037425413,68.3958051297665,68.7446327876947,69.0838016274736,69.4133879813999,69.7334986708387,70.0442635528254,70.3450412826165,70.6352598708131,70.9151414044538
BRA,81.1484365423806,81.5960450621957,81.9943491502673,82.3540335841671,82.6816824814559,82.9838799596945,83.2672101364439,83.5382571292649,83.8036050557184,84.0698380333651,84.343846036308,84.6225758599683,84.8973874181312,85.1676585442726,85.4331367898168,85.6935697061881,85.9487048448108,86.1982897571091,86.4420719945072,86.6797991084296,86.9112186503004,87.1360781715439,87.349556243881,87.6159710235763
BRB,62.5379397803044,62.3048911059175,61.965577912278,61.5543861265895,61.101971231796,60.6389887108416,60.1960940466703,59.803942722226,59.4931902204528,59.2944920242948,59.2366008990356,59.236693205614,59.2372151062924,59.2385370835674,59.2410313429534,59.2450700899645,59.2510255301153,59.25926986892,59.270175311893,59.2841140645486,59.3014583324011,59.3220365433819,59.3538514107686,59.4235740235775
BRN,71.2246805488418,71.657883335906,72.1021556496525,72.577635652792,73.0675067339261,73.552870858133,74.0148299904911,74.4344860960786,74.7929411399737,75.0712970872547,75.2506559029998,75.312125504778,75.2714233503027,75.1756915148608,75.0572639801502,74.9484620568562,74.8816070556641,74.8476440654983,74.8172471714305,74.7923311783673,74.7748108912151,74.7667316936175,74.7772642014221,74.8199193881365
BTN,27.5915239884015,28.282501830034,28.9630875013322,29.6328608739429,30.2914018195132,30.9379917831613,31.5664945864425,32.1738216649326,32.76371954591,33.3396804958817,33.9051967813552,34.4637606688377,35.0188644248365,35.5740003158589,36.1326606084122,36.6983375690037,37.2745234641407,37.8645544995016,38.4661892776975,39.0746823405146,39.6888839873439,40.3075199874379,40.9365143617581,41.7352457989939
BWA,53.2047727398794,54.0489894446035,55.0142988603802,56.0979233496432,57.2582489329358,58.4535554684584,59.6421228144112,60.7822308289942,61.8321593704079,62.7501882968523,63.4945974665277,64.0187810722889,64.3993247826904,64.7579735458393,65.0965122400825,65.4103584313295,65.6949296854899,65.9456435684731,66.1579176461888,66.3271694845464,66.4488166494554,66.5182767068255,66.5889787170477,67.0212655349864
CAF,37.7014879765364,37.7560236207831,37.8169752995511,37.8863171931924,37.9626889392062,38.0448510426866,38.134433681123,38.2343339436079,38.3474489192338,38.476675697093,38.6244963104203,38.8030669465007,39.0301696038517,39.3042963482777,39.6226521868738,39.9824421267351,40.3808711749566,40.8151443386334,41.2824666248606,41.7800430407332,42.3050785933463,42.8547782897949,43.2751967457285,43.6983692134165
CAN,78.6292995508947,78.8414764949736,79.0990234802234,79.391380674239,79.6923063348315,79.9760615882965,80.219066099279,80.4425615136782,80.6628944916604,80.8591838893921,81.0120892252937,81.1031425434213,81.1513483248791,81.183439957458,81.211183161556,81.2465670276699,81.3023011093703,81.4018945832226,81.5500341646653,81.7363672047941,81.9509888710566,82.1779279079275,82.3500897353968,82.5250564408346
CEB,61.4406529042584,61.5302776725809,61.5839935887768,61.5712683744702,61.5745184206623,61.6684376748335,61.7598296238782,61.7629328161568,61.8748408884735,61.9070756085004,61.9831332825539,62.0062995511589,61.9739324654094,61.9617031095155,61.9632949711014,61.9708877552037,61.902526100399,61.871575661727,61.8111043373164,61.7449526458334,61.6318247679717,61.5491099540844,61.5935240282645,61.69707902806
CHE,73.302430524727,73.3762992611964,73.4195324136588,73.4518762174754,73.4761317507392,73.4951000915434,73.5115823179813,73.5283795081459,73.5482927401305,73.5741230920283,73.6086716419323,73.65058748615,73.7522629583622,74.1121384785551,74.7402679059582,75.6044960143169,76.6726675773771,77.9126273688843,79.2922201625844,80.7792907322229,82.3416838515457,84.2006477608879,84.9206266284521,85.1854212679815
