country,year,fertility,gdp,unemployment,education,labor_force,urbanization,region,infant_mortality
ABW,2000,1.845,20681.0230269625,,,,65.3545497799987,Otro,
ABW,2001,1.813,20740.1325828172,,98.6474304199219,,65.3351137913914,Otro,
ABW,2002,1.8,21307.2482505267,,102.293441772461,,65.2820691308217,Otro,
ABW,2003,1.808,21949.4859960868,,104.977783203125,,65.1982922587168,Otro,
ABW,2004,1.819,23700.6319899197,,101.585006713867,,65.0886533661558,Otro,
ABW,2005,1.844,24171.8371325422,,100.781471252441,,64.9580226442175,Otro,
ABW,2006,1.862,24845.65848362,,100.671501159668,,64.811270283981,Otro,
ABW,2007,1.881,26736.3089444046,,108.43962097168,,64.6532664765254,Otro,
ABW,2008,1.889,28171.9094008501,,100.322486877441,,64.4888814129295,Otro,
ABW,2009,1.875,25134.7712303589,,100.752082824707,,64.3229852842726,Otro,
ABW,2010,1.855,24093.1401510626,,100.190170288086,,64.1612965549477,Otro,
ABW,2011,1.858,25712.3843015186,,98.8285369873047,,63.9992605838571,Otro,
ABW,2012,1.907,25119.6655449838,,109.055122375488,,63.8252085199599,Otro,
ABW,2013,1.944,25813.5714408438,,,,63.6382914355326,Otro,
ABW,2014,1.944,26129.8390617693,,,,63.4392531303795,Otro,
ABW,2015,1.899,27458.2201537506,,,,63.2288374043053,Otro,
ABW,2016,1.848,27441.5502144601,,,,63.0077880571142,Otro,
ABW,2017,1.785,28440.0416881491,,,,62.7768488886109,Otro,
ABW,2018,1.732,30082.1584226798,,144.720138549805,,62.5367636985996,Otro,
ABW,2019,1.701,30645.8906024548,,145.138092041016,,62.288276286885,Otro,
ABW,2020,1.662,22759.8071750722,,143.255950927734,,62.0028837566365,Otro,
ABW,2021,1.631,26749.3296093118,,134.622039794922,,61.9275339886843,Otro,
ABW,2022,1.615,30975.9989121779,,137.287643432617,,61.8811657924257,Otro,
ABW,2023,1.602,35718.7531191634,,,,61.8351492675589,Otro,
AFE,2000,5.54989301895013,706.727260967009,7.66876829683374,25.5485401153564,65.4878468564247,28.4686879776452,Otro,85.202739159748
AFE,2001,5.50176609365985,625.82781544115,7.55388452430262,26.3633804321289,65.5250734845258,28.8315061435738,Otro,82.1943407373521
AFE,2002,5.44969577120575,630.512327648462,7.51149338877195,26.9570503234863,65.6256205971947,29.2210306166309,Otro,78.8378528827153
AFE,2003,5.40732792013545,815.432296267735,7.4720424200925,27.4211807250977,65.7344314959019,29.6390356014361,Otro,75.6413221963481
AFE,2004,5.38130825995291,989.015463629244,7.27852246959678,28.4966602325439,65.794449017614,30.0878370669042,Otro,72.7254355200617
AFE,2005,5.35039851932097,1126.2973233912,7.10041371887931,29.3665599822998,65.8609309804779,30.5372758629303,Otro,69.5713791768326
AFE,2006,5.30592047242956,1235.26660811771,7.03560059961336,30.7157497406006,65.7277734426918,30.9876495544836,Otro,66.2640252936723
AFE,2007,5.25398480103277,1381.5525968929,6.98058891496815,31.8105907440186,65.5044539660056,31.3629773942904,Otro,63.474495764419
AFE,2008,5.21940349533757,1447.54575437552,6.95926232871186,33.3657188415527,65.2676704767413,31.848999584948,Otro,60.8028072164861
AFE,2009,5.14253544179731,1408.75346659428,7.0293349336202,34.5432586669922,64.8655568113028,32.2400677597918,Otro,58.5097391916938
AFE,2010,5.06649694569372,1628.90524793139,7.33948885318777,35.623420715332,64.4753427246979,32.5903609820215,Otro,56.9034241703036
AFE,2011,4.98101550181667,1761.98926096159,7.303350943492,36.5236701965332,64.7402788186404,32.9380985869792,Otro,57.8926194287132
AFE,2012,4.89958534111926,1732.03802145335,7.10873740350119,37.6529693603516,63.7624434638682,33.2867060801392,Otro,53.0417763570726
AFE,2013,4.81956335424637,1706.02274412621,6.88972223038428,38.6157493591309,64.5947566482245,33.6673142772775,Otro,50.7336578699843
AFE,2014,4.74807426510375,1690.16679245944,6.86242857576034,39.738208770752,63.6825944089328,34.0775774023013,Otro,50.0271083910676
AFE,2015,4.676508011604,1498.8752400759,6.9309412585873,39.6892509460449,63.1971810737597,34.4906809355644,Otro,49.010304526817
AFE,2016,4.61574383851019,1334.47050032928,7.07442880999326,40.2670402526855,62.5959844832547,34.8812106693274,Otro,47.7739196418728
AFE,2017,4.56988358574791,1528.10422421284,7.21491501896869,40.8391418457031,61.8408823637693,35.2829868326458,Otro,46.7832639603647
AFE,2018,4.52144320133481,1552.07372194919,7.24484282680542,41.1385498046875,61.2618358874407,35.714718464725,Otro,43.8518142030077
AFE,2019,4.47133814751909,1507.08559963484,7.45910636823544,41.6500816345215,60.6698092923716,36.0973307017698,Otro,42.1900739123661
AFE,2020,4.41297254940111,1351.59166910879,7.97430164130982,42.3275299072266,59.4336814464777,36.4883219609866,Otro,41.1258527019551
AFE,2021,4.3506825352307,1562.41617477738,8.40741154700022,42.7693405151367,59.4544572511058,36.9085426088518,Otro,40.0875597895277
AFE,2022,4.28703336709338,1679.32762166466,7.86947018999245,42.9131698608398,59.8313046841424,37.3605781096471,Otro,39.6730585330406
AFE,2023,4.22382000342151,1571.44918918981,7.67654773372157,,63.5925984344771,37.7723012408349,Otro,37.919755006862
AFG,2000,7.566,174.930991430166,7.897,,14.294,18.5581995230666,Otro,110.1
AFG,2001,7.453,138.706821676113,7.973,0.0,14.196,18.7412381251552,Otro,107.0
AFG,2002,7.32,178.954088379235,7.867,,14.152,18.9412480133309,Otro,103.8
AFG,2003,7.174,198.871115728727,7.844,6.96920013427734,14.154,19.1600346409089,Otro,100.6
AFG,2004,7.018,221.763653873013,7.794,6.38919019699097,14.205,19.3993593959593,Otro,97.2
AFG,2005,6.858,254.184249149336,7.878,9.67969036102295,14.302,19.7059095753667,Otro,93.7
AFG,2006,6.686,274.218553561575,7.897,15.3283004760742,14.452,20.1104530189181,Otro,90.1
AFG,2007,6.508,376.223152003876,7.841,15.3513603210449,14.67,20.5906579215423,Otro,86.7
AFG,2008,6.392,381.73323802844,7.879,22.7884502410889,14.944,21.1241481349633,Otro,83.3
AFG,2009,6.295,452.053705477043,7.808,28.3175792694092,15.248,21.6885475109053,Otro,80.0
AFG,2010,6.195,560.621505463146,7.809,33.0262413024902,15.572,22.2614799010924,Otro,76.9
AFG,2011,6.094,606.694676337726,7.83,36.9816284179688,15.893,22.8205691572485,Otro,74.0
AFG,2012,5.985,651.417134470046,7.875,38.5514297485352,16.208,23.3434391310979,Otro,71.3
AFG,2013,5.879,637.087099117099,7.921,38.722900390625,17.138,23.8077136743646,Otro,68.7
AFG,2014,5.77,625.054941813938,7.915,38.5330581665039,18.107,24.1910166387726,Otro,66.4
AFG,2015,5.652,565.569730408751,9.032,37.8227882385254,19.113,24.4649118421568,Otro,64.2
AFG,2016,5.542,522.082215583898,10.116,38.5832786560059,20.156,24.6588345720126,Otro,62.3
AFG,2017,5.433,525.469770891619,11.184,39.937858581543,21.24,24.8352821238871,Otro,60.4
AFG,2018,5.327,491.337221382603,11.192,41.3507118225098,19.805,24.9991645191406,Otro,58.6
AFG,2019,5.238,496.6025042585,11.187,,18.298,25.1437258839803,Otro,56.9
AFG,2020,5.145,510.787063366811,11.71,,16.474,25.2622103446137,Otro,55.3
AFG,2021,5.039,356.496214115892,12.006,,14.616,25.3478620272481,Otro,53.6
AFG,2022,4.932,357.261152798144,14.1,,5.159,25.3939250580909,Otro,52.0
AFG,2023,4.84,413.757894705303,14.008,,5.145,25.4730529631167,Otro,50.4
AFW,2000,6.02214272981906,518.969226054683,4.53084348194886,18.7828693389893,69.1911987479178,38.8524684384581,Otro,93.006571317231
AFW,2001,5.99007410329012,532.972787221754,4.46519556174692,20.19407081604,69.1645799065043,39.4529459668409,Otro,90.4939256218665
AFW,2002,5.95620213584871,619.337335030759,4.27370648574837,20.6358604431152,69.1962667907328,40.049367409183,Otro,87.8161044886942
AFW,2003,5.92357302720715,697.481256337088,4.1679789387801,22.5834197998047,69.0785886033759,40.6448482782766,Otro,85.0548960442655
AFW,2004,5.89551358763435,838.213391665852,4.08689146118398,24.1746807098389,69.030103827787,41.2398201335762,Otro,82.3543695553498
AFW,2005,5.87177032127738,999.770023047319,4.09646467682858,25.2043399810791,68.8977669077647,41.836459455774,Otro,79.6981632968119
AFW,2006,5.84602826670684,1234.64185574403,3.96927941109318,25.3873996734619,68.8641297310335,42.4399258811784,Otro,77.2061722191711
AFW,2007,5.80965086668807,1405.88018847409,3.9480584197936,25.3766708374023,68.8348841697833,43.0123127292741,Otro,74.9347097907418
AFW,2008,5.78547347244462,1666.52048270501,3.96722459921357,28.1702404022217,68.6210766740076,43.5798873927202,Otro,72.8760386283093
AFW,2009,5.75112008903331,1453.4952836253,4.00285567701832,30.8871803283691,68.3866980561586,44.1512095621441,Otro,73.0575918951436
AFW,2010,5.71289596656524,1662.63365844147,3.98952016701337,33.9896202087402,68.1727946640837,44.7260198444584,Otro,69.4122365852538
AFW,2011,5.66566707694786,1844.05436728177,3.96721211893844,35.5903816223145,67.9040064605785,45.2987995750013,Otro,67.9062516089133
AFW,2012,5.59679953142373,1941.11824321812,3.98010182260688,37.8155899047852,67.7381317504899,45.8732546944015,Otro,66.5413120103006
AFW,2013,5.51546824365668,2131.60609132899,3.70779396420408,42.5206108093262,67.3759160344356,46.4463309133392,Otro,65.5037013748662
AFW,2014,5.44001848340923,2221.35033761012,3.88775083913174,38.7878112792969,66.9584913590626,47.0221646001768,Otro,64.8130500760047
AFW,2015,5.34659582634864,1860.72768628324,4.17014290578818,40.3699607849121,66.7249556679013,47.6023892615338,Otro,63.4495047767985
AFW,2016,5.22897623531264,1630.03943895258,4.16758013639496,39.0918617248535,66.5614485140754,48.1739704033824,Otro,62.4306493269898
AFW,2017,5.09888534179775,1574.23056437855,4.28399591922403,39.740650177002,66.1944450713112,48.7474138775856,Otro,61.5022772493851
AFW,2018,4.96257068098246,1720.14009242722,4.33437713943307,40.4764213562012,65.8917145304178,49.3179475986921,Otro,60.1219482365332
AFW,2019,4.82913447807754,2216.38505520833,4.39076373818366,42.076530456543,65.661572505949,49.8900751494997,Otro,59.5677025529984
AFW,2020,4.7073988083188,2030.86165860293,4.79531801163781,43.326961517334,64.3710758149085,50.4763178807468,Otro,57.5502079306733
AFW,2021,4.63774085975902,2112.79407637079,4.66663403105227,44.3946685791016,65.0587604739967,51.0723969922682,Otro,56.4740436067272
AFW,2022,4.56335400847357,2138.47315259913,3.59335356570127,44.9384689331055,65.6799234185922,51.6816941134779,Otro,56.4303202171376
AFW,2023,4.49770681255146,1841.85506354867,3.20080093275133,46.1132011413574,67.3351238627599,52.2829081872902,Otro,53.3372158285585
AGO,2000,6.639,563.733795571487,16.646,12.1040000915527,75.495,50.5070653484197,África Subsahariana,115.0
AGO,2001,6.601,533.586202412447,16.668,13.2332096099853,75.522,51.7224790407329,África Subsahariana,111.9
AGO,2002,6.567,999.065855913758,16.432,14.7315998077393,75.548,52.8926234794038,África Subsahariana,108.1
AGO,2003,6.533,1133.66331960607,16.445,,75.574,54.0043545370761,África Subsahariana,104.0
AGO,2004,6.499,1451.47117872493,16.313,,75.597,55.0445280863936,África Subsahariana,99.3
AGO,2005,6.461,2145.88621096327,16.295,,75.615,56.0,África Subsahariana,94.4
AGO,2006,6.419,2930.4442860732,16.123,,75.626,56.8939032662772,África Subsahariana,89.1
AGO,2007,6.372,3515.05678986535,16.066,,75.633,57.7564632930133,África Subsahariana,83.8
AGO,2008,6.32,4578.15526451517,16.152,19.9174499511719,75.633,58.5851745819614,África Subsahariana,78.7
AGO,2009,6.26,3645.14846562976,16.383,21.1587905883789,75.627,59.3775316348744,África Subsahariana,73.7
AGO,2010,6.194,4101.63715566712,16.595,22.98756980896,75.621,60.1310289535053,África Subsahariana,68.9
AGO,2011,6.12,5184.15269149912,16.77,22.3924407958984,74.865,60.8431610396073,África Subsahariana,64.4
AGO,2012,6.039,5702.45306277434,16.539,,74.633,61.5114223949332,África Subsahariana,60.4
AGO,2013,5.953,5688.57916215215,16.464,,74.4,62.1333075212361,África Subsahariana,56.7
AGO,2014,5.864,5649.68762469139,16.372,,74.167,62.723115793241,África Subsahariana,53.6
AGO,2015,5.774,3641.72893919944,16.472,,73.933,63.51567832685,África Subsahariana,51.1
AGO,2016,5.686,2051.81462126253,16.572,42.9851256990708,73.697,64.2992302517989,África Subsahariana,48.9
AGO,2017,5.6,2790.71886869768,16.617,,73.461,65.0850525086068,África Subsahariana,47.0
AGO,2018,5.519,2860.0936483682,16.602,,73.224,65.8732136723372,África Subsahariana,45.3
AGO,2019,5.442,2493.67884440177,16.497,,72.985,66.6637823180533,África Subsahariana,43.8
AGO,2020,5.371,1759.35619918264,16.696,,71.342,67.4568270208187,África Subsahariana,42.3
AGO,2021,5.304,2303.90812662776,15.799,49.4286274279557,74.695,68.2524163556969,África Subsahariana,40.9
AGO,2022,5.209,3682.1131513698,14.124,,74.018,69.0506188977513,África Subsahariana,39.6
AGO,2023,5.124,2916.13663284275,14.051,48.1175394651696,72.318,69.8515032220457,África Subsahariana,38.3
ALB,2000,2.217,1160.42047054038,19.023,,50.831,41.6135829609314,Europa,17.9
ALB,2001,2.141,1326.41652388077,18.57,,49.68,42.354513990929,Europa,17.0
ALB,2002,2.002,1479.83884572006,17.891,,49.088,43.1520419609419,Europa,16.1
ALB,2003,2.006,1908.69900687608,16.985,,48.461,44.0295089223208,Europa,15.3
ALB,2004,1.889,2446.90949947798,16.306,77.1257705688477,47.845,44.9784925669394,Europa,14.4
ALB,2005,1.787,2741.72136549578,15.966,80.9782333374023,47.242,45.9937666920583,Europa,13.5
ALB,2006,1.686,3057.77257038113,15.626,82.5476684570312,46.652,47.0701050949378,Europa,12.7
